央视频道,#genre#
CCTV-1,http://yfsl.vsd.gehua.net.cn/live/CCTV1HD_1200.m3u8
CCTV-1,http://60.10.167.88:808/hls/1/index.m3u8
CCTV-1,http://119.39.128.12:88/hls/1/index.m3u8
CCTV-1,http://120.253.104.16:808/hls/1/index.m3u8
CCTV-1,http://183.196.25.171:808/hls/1/index.m3u8
CCTV-1,http://39.134.66.4:80/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1,http://111.20.33.93/PLTV/88888893/224/3221226010/index.m3u8
CCTV-1,http://140.207.241.2:8080/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV-1,http://111.59.189.40:8445/tsfile/live/1000_1.m3u8
CCTV-1,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
CCTV-1,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1,http://39.134.66.48/PLTV/88888888/224/3221225736/index.m3u8
CCTV-1,http://117.148.129.9/PLTV/88888888/224/3221231468/index.m3u8
CCTV-1,http://222.175.159.226:808/hls/1/index.m3u8
CCTV-1,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226118/iptv65795.smil
CCTV-1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8

CCTV-2,http://yfsl.vsd.gehua.net.cn/live/CCTV2HD_1200.m3u8
CCTV-2,http://60.10.167.88:808/hls/2/index.m3u8
CCTV-2,http://120.253.104.16:808/hls/2/index.m3u8
CCTV-2,http://222.175.159.226:808/hls/2/index.m3u8
CCTV-2,http://119.39.128.12:88/hls/2/index.m3u8
CCTV-2,http://183.196.25.171:808/hls/2/index.m3u8
CCTV-2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV-2,http://117.148.129.11/PLTV/88888888/224/3221231678/index.m3u8
CCTV-2,http://111.59.189.40:8445/tsfile/live/1001_1.m3u8
CCTV-2,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://111.20.33.93/PLTV/88888893/224/3221226224/index.m3u8
CCTV-2,http://111.20.33.93/TVOD/88888893/224/3221226195/index.m3u8
CCTV-2,http://117.148.129.9/PLTV/88888888/224/3221231678/index.m3u8
CCTV-2,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226584/10000100000000060000000000499223_0.smil
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8

CCTV-5,http://yfsl.vsd.gehua.net.cn/live/CCTV5HD_1200.m3u8
CCTV-5,http://219.151.31.37/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/2300000/mnf.m3u8
CCTV-5,http://60.10.167.88:808/hls/5/index.m3u8
CCTV-5,http://171.108.239.13:8181/tsfile/live/1031_1.m3u8
CCTV-5,http://222.175.159.226:808/hls/5/index.m3u8
CCTV-5,http://112.132.214.218/liveplay-kk.rtxapp.com/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV-5,http://119.39.128.12:88/hls/5/index.m3u8
CCTV-5,http://183.196.25.171:808/hls/78/index.m3u8
